a1,a2,a3,a4,a5,d
?,-62.8,-89.5,54.1,1.7,1
24,3.3,-3.5,?,1.1,1
-61.6,-120.8,?,24.7,2.5,1
-1,-18.1,-28.8,36.2,1.1,1
18.9,?,-50.6,26.4,?,1
?,?,-56.2,11,1.7,1
3,?,?,8,1,1
?,-194.5,?,6.5,?,1
?,20.8,-4.3,22.6,1,1
?,?,-22.9,23.8,1.5,1
?,?,-35.7,69.1,?,1
?,?,-17.7,?,1.3,1
-185.1,-308.9,-65.8,?,0.8,1
?,?,-22.6,?,?,1
?,-118.3,-34.2,21.7,?,1
72.4,-185.9,-280,12.5,6.7,1
?,-34.6,?,35.5,3.4,1
?,?,6.3,7,1.3,1
14.1,-48.2,6.8,16.6,1.6,1
-60.6,?,-17.2,7.2,?,1
26.2,-19.2,-36.7,?,0.8,1
7,-18.1,-6.5,?,?,1
-53.1,-98,-20.8,26.6,1.7,1
-17.2,-129,?,267.9,?,1
32.7,-4,-15.8,177.4,2.1,1
26.7,?,-36.3,?,2.8,1
-7.7,-59.2,-12.8,21.3,2.1,1
18,-13.1,-17.6,?,0.9,1
?,-38,1.6,7.7,?,1
-35.3,-57.9,0.7,?,0.8,1
?,-8.8,-9.1,100.9,0.9,1
0,-64.7,-4,0.7,0.1,1
?,-11.4,?,7,0.9,1
35.2,?,16.4,99.1,1.3,2
38.8,47,?,126.5,1.9,2
14,-3.3,?,?,2.7,2
?,35,?,?,1.9,2
59.3,46.7,12.6,?,0.9,2
33.6,20.8,12.5,152.8,?,2
52.8,33,?,?,?,2
?,?,10.4,287.9,?,2
?,68.6,13.8,?,?,2
40,37.3,33.4,?,?,2
69,59,23.1,406,?,2
34.2,?,23.8,126.6,1.9,2
47,12.5,?,53.4,1.8,2
15.4,?,?,?,1.5,2
56.9,?,4.2,?,0.9,2
43.8,49.5,25.1,115,2.6,2
20.7,?,13.5,63.1,?,2
33.8,?,15.7,144.8,?,2
35.3,21.5,-14.4,90,1,2
24.4,8.5,5.8,149.1,?,2
48.9,?,5.8,82,1.8,2
49.9,34.6,26.4,310,1.8,2
54.8,19.9,26.7,239.9,2.3,2
39,17.4,?,?,1.3,2
?,?,14.6,771.7,1.7,2
20.1,53.5,?,307.5,1.1,2
53.7,?,26.4,289.5,2,2
46.1,39.4,?,700,?,2
48.3,53.1,7.1,164.4,1.9,2
?,39.8,13.8,229.1,1.2,2
?,?,7,?,2,2
17.9,16.3,20.4,105.6,1,2
24.7,?,?,?,1.6,2